"Daily Weather Observations for Melbourne, Victoria for February 2024"
"Prepared at 16:01 UTC on Tuesday 16 April 2024   IDCJDW3050.202402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-02-1,15.3,24.3,0,5.6,11.1,S,35,14:25,18.3,68,7,W,9,1016.7,23.7,55,1,SSW,13,1013.6
,2024-02-2,15.7,20.9,0,8.0,12.9,S,35,16:26,17.5,62,3,WSW,11,1014.5,20.2,55,1,SSE,17,1014.3
,2024-02-3,12.1,33.4,0,7.6,13.0,SSW,30,16:46,17.0,65,0,NNE,11,1011.7,29.9,28,0,SSW,9,1007.8
,2024-02-4,15.2,37.5,0,8.0,12.6,N,50,13:15,19.5,68,1,NNE,9,1006.4,35.6,22,1,NNW,24,1000.0
,2024-02-5,19.5,19.9,0,14.6,0.0,S,35,06:40,19.6,78,7,SSW,9,1007.5,18.4,64,7,S,13,1010.4
,2024-02-6,16.0,21.1,1.0,3.4,11.9,SSW,35,11:48,17.6,54,4,SSE,9,1018.0,20.4,46,2,SSW,15,1019.7
,2024-02-7,12.4,21.9,0.2,7.2,12.9,SSW,39,14:10,17.7,63,5,ESE,9,1024.0,21.8,52,4,SSW,19,1024.1
,2024-02-8,14.6,22.4,0,6.4,10.9,SSW,31,15:16,16.9,71,7,SE,13,1026.4,21.4,59,1,SSW,13,1024.4
,2024-02-9,16.9,21.2,0,6.4,7.7,SW,35,14:46,18.9,71,7,S,15,1026.1,20.8,57,5,SSW,15,1025.6
,2024-02-10,15.1,26.7,0,6.6,9.6,SE,33,01:20,17.1,67,7,SSE,9,1026.4,25.6,46,1,WSW,7,1022.2
,2024-02-11,17.1,33.2,0,7.6,12.2,NNW,50,17:25,23.5,54,0,N,20,1019.8,31.3,38,1,N,20,1016.1
,2024-02-12,18.7,35.8,0,10.0,12.2,NNW,50,13:26,25.2,53,0,NE,7,1015.4,35.4,29,3,NNW,22,1011.2
,2024-02-13,20.0,36.7,0,11.8,9.0,N,54,09:58,29.3,41,1,N,24,1007.2,32.9,39,6,N,19,1000.1
,2024-02-14,14.4,20.3,1.2,12.0,8.2,WSW,31,23:21,15.2,66,7,W,9,1016.8,19.3,46,6,S,17,1018.4
,2024-02-15,12.4,20.9,0,6.4,11.0,SSW,35,15:23,16.3,52,1,SE,9,1022.7,19.8,51,7,S,19,1021.9
,2024-02-16,12.8,22.9,0,5.8,8.6,SSW,35,16:58,15.7,72,8,NNE,7,1023.2,21.5,59,7,SSW,15,1021.3
,2024-02-17,14.1,23.1,0,5.2,7.6,SSW,31,15:44,17.3,81,8,NNE,4,1022.8,22.1,59,7,SSW,15,1021.3
,2024-02-18,15.4,21.8,0,5.6,8.2,SSW,33,17:13,18.4,69,8,ESE,7,1021.8,21.1,59,2,SSW,13,1020.6
,2024-02-19,17.4,22.2,0,7.0,9.5,SSW,33,15:57,18.2,65,7,SSE,9,1021.6,21.4,61,1,SSW,13,1019.8
,2024-02-20,16.2,29.2,0,7.6,8.9,SSW,28,16:47,19.8,71,7, ,Calm,1016.7,27.2,56,5,S,11,1013.3
,2024-02-21,19.3,33.9,0,8.0,10.8,N,41,11:15,24.7,52,4,NNE,9,1014.5,33.3,31,2,NNE,20,1011.4
,2024-02-22,21.5,35.9,0,13.6,8.0,N,57,13:34,27.2,45,7,N,22,1009.1,35.7,32,2,N,24,1003.7
,2024-02-23,17.4,21.9,3.8,12.0,1.7,S,39,18:30,19.0,56,7,SW,9,1010.6,20.4,48,7,S,17,1013.0
,2024-02-24,16.0,20.3,0,7.4,8.6,SSW,31,15:40,17.0,53,7,SSE,13,1020.2,19.9,55,1,SSW,15,1019.6
,2024-02-25,11.7,30.9,0,6.2,9.5,S,41,19:31,17.5,68,4,N,11,1015.9,30.6,27,7,SSW,9,1012.5
,2024-02-26,16.7,20.4,0,7.8,6.1,SSW,37,14:20,17.9,65,7,S,9,1018.9,19.7,56,7,SSW,17,1019.4
,2024-02-27,12.9,27.4,0,6.4,10.9,,,,16.7,70,1,NE,7,1016.1,25.7,53,1,SW,11,1012.6
,2024-02-28,16.6,36.3,0,8.8,5.3,NNE,50,16:43,23.5,51,3,N,11,1011.6,31.4,40,6,NNE,13,1008.4
,2024-02-29,18.5,24.7,0,10.0,5.6,SSW,28,14:35,19.0,71,7,WSW,13,1014.0,23.2,55,3,SSW,15,1014.6
